,info,date,rating,title
0,"Verified User
          현직원 · m******** · 해외영업·사업개발·마케팅 - 2023.07.07",2023.07.07,Rating Score2.0,“쉽지않아 진짜”
1,"Verified User
          현직원 · w**** · 해외영업·사업개발·마케팅 - 2023.11.14",2023.11.14,Rating Score4.0,“부바부지만 잘들어가면 워라벨 보장됨”
2,"Verified User
          현직원 · x***** · 마케팅·홍보 전문가 - 2023.10.26",2023.10.26,Rating Score3.0,“고인물 팀장과 담당 위해 사원대리를 갈아넣음”
3,"Verified User
          현직원 · g**** · 마케팅·홍보 전문가 - 2023.10.21",2023.10.21,Rating Score4.0,“주니어레벨 커리어 쌓기 좋은 회사”
4,"Verified User
          현직원 · O***** · 해외영업·사업개발·마케팅 - 2023.09.21",2023.09.21,Rating Score3.0,“제약업계에서 해외사업하기에는 괜찮은 회사 ”
5,"Verified User
          현직원 · f***** · 경영지원·관리 전문가 - 2023.08.29",2023.08.29,Rating Score3.0,“버틸만한 회사”
6,"Verified User
          현직원 · D***** · 경영전략·사업기획·분석전문가 - 2023.08.23",2023.08.23,Rating Score3.0,“명성에 비해 내부체계가 심각하게 부족한 회사”
7,"Verified User
          현직원 · i********* · 경영지원·관리 전문가 - 2023.08.19",2023.08.19,Rating Score3.0,“사람들은 좋은 곳”
8,"Verified User
          현직원 · 1***** · 해외영업·사업개발·마케팅 - 2023.08.15",2023.08.15,Rating Score3.0,“일이 너무 많음 ㅠㅠ”
9,"Verified User
          현직원 · N***** · 경영지원·관리 전문가 - 2023.08.12",2023.08.12,Rating Score4.0,“배울건 많은데 그만큼 힘든 회사”
10,"Verified User
          현직원 · K***** · 경영지원·관리 전문가 - 2023.07.25",2023.07.25,Rating Score1.0,“Hell’s care 워라밸 극악 ㅠㅠ”
11,"Verified User
          현직원 · g***** · 경영지원·관리 전문가 - 2023.07.25",2023.07.25,Rating Score3.0,“모르겠어요”
12,"Verified User
          현직원 · T***** · 회계·세무·재무 전문가 - 2023.07.17",2023.07.17,Rating Score3.0,"“부바부, 무체계”"
13,"Verified User
          현직원 · F***** · 품질관리·보증 전문가 - 2023.07.14",2023.07.14,Rating Score4.0,“그럭저럭 괜찮은 회사”
14,"Verified User
          현직원 · i********* · 경영지원·관리 전문가 - 2023.06.06",2023.06.06,Rating Score1.0,“극여초회사. 꼰대회사. 무체계. 공산주의”
15,"Verified User
          현직원 · 할***** · 회계·세무·재무 전문가 - 2023.05.28",2023.05.28,Rating Score3.0,“워라밸 좋음. 급여는 대기업 수준 쏘쏘.”
16,"Verified User
          전직원 · 도*** · 해외영업·사업개발·마케팅 - 2023.05.10",2023.05.10,Rating Score2.0,“치명적 단점이 장점을 가리는 곳”
17,"Verified User
          현직원 · s***** · 경영전략·사업기획·분석전문가 - 2023.05.06",2023.05.06,Rating Score4.0,“부바부 워라벨보장”
18,"Verified User
          현직원 · h***** · 연구개발(R&D) - 2023.05.04",2023.05.04,Rating Score3.0,“워라밸이 보장 안되는 회사”
19,"Verified User
          현직원 · l********* · 경영지원·관리 전문가 - 2023.04.27",2023.04.27,Rating Score3.0,"“부바부, 돈많이 주지만 체계없는 회사”"
20,"Verified User
          현직원 · 1******** · 경영지원·관리 전문가 - 2023.02.26",2023.02.26,Rating Score1.0,“최악중에 최악. 극악 정치판.”
21,"Verified User
          현직원 · O***** · 경영지원·관리 전문가 - 2023.02.03",2023.02.03,Rating Score3.0,“평균나이 어린거 강조하는건 다 이유가 있다”
22,"Verified User
          현직원 · h********* · 해외영업·사업개발·마케팅 - 2023.01.19",2023.01.19,Rating Score4.0,“커리어 쌓으며 실질적으로 도움되는 일을 배우기 좋은 회사”
23,"Verified User
          현직원 · a***** · 구매·물류·SCM 전문가 - 2022.11.09",2022.11.09,Rating Score5.0,“다양한 경험을 할 수 있는 회사”
24,"Verified User
          현직원 · l********* · 영업 전문가 - 2022.10.28",2022.10.28,Rating Score2.0,“서로 잡아먹지 못해 안달난 회사”
25,"Verified User
          현직원 · a********* · 해외영업·사업개발·마케팅 - 2022.10.20",2022.10.20,Rating Score4.0,“ 다양한 경험과 시도를 해 볼 수 있는 환경”
26,"Verified User
          현직원 · p**** · 경영전략·사업기획·분석전문가 - 2022.10.19",2022.10.19,Rating Score3.0,“많은 경험과 희생 필요”
27,"Verified User
          현직원 · p***** · 해외영업·사업개발·마케팅 - 2022.10.19",2022.10.19,Rating Score4.0,“경험해볼만 함”
28,"Verified User
          현직원 · E***** · 해외영업·사업개발·마케팅 - 2022.10.15",2022.10.15,Rating Score3.0,“워라밸이 보장되는 회사”
29,"Verified User
          현직원 · X***** · 경영지원·관리 전문가 - 2022.10.15",2022.10.15,Rating Score3.0,“워라벨을 지키긴 어려움”
30,"Verified User
          현직원 · A***** · 구매·물류·SCM 전문가 - 2022.10.11",2022.10.11,Rating Score1.0,“낫배드”
31,"Verified User
          현직원 · w***** · 마케팅·홍보 전문가 - 2022.10.11",2022.10.11,Rating Score2.0,“조직운영 개판 /  일하는놈만일하는회사”
32,"Verified User
          현직원 · x***** · 마케팅·홍보 전문가 - 2022.10.06",2022.10.06,Rating Score5.0,“지루하지 않은 회사”
33,"Verified User
          현직원 · N***** · 경영지원·관리 전문가 - 2022.09.19",2022.09.19,Rating Score5.0,“주니어레벨에서 올라운드 플레이어가 될수 있음”
34,"Verified User
          현직원 · t***** · 경영지원·관리 전문가 - 2022.08.30",2022.08.30,Rating Score2.0,“시스템 하 사내문화 하”
35,"Verified User
          현직원 · e***** · 경영지원·관리 전문가 - 2022.08.09",2022.08.09,Rating Score3.0,“그냥저냥 다닐만한 회사”
36,"Verified User
          현직원 · S***** · 마케팅·홍보 전문가 - 2022.08.09",2022.08.09,Rating Score2.0,“고인물의 파티”
37,"Verified User
          현직원 · b******** · 해외영업·사업개발·마케팅 - 2022.07.07",2022.07.07,Rating Score3.0,“연봉이랑 복지는 좋지만 워라밸은 글쎄”
