,info,date,rating,title
0,"Verified User
          전직원 · l********* · 회계·세무·재무 전문가 - 2023.11.26",2023.11.26,Rating Score2.0,“주식보고 오면 후회하는데…”
1,"Verified User
          현직원 · r***** · 연구개발(R&D) - 2023.11.26",2023.11.26,Rating Score1.0,“So so”
2,"Verified User
          현직원 · 프*** · 생산엔지니어·생산관리 - 2023.11.20",2023.11.20,Rating Score4.0,“전망은 좋다하는데..”
3,"Verified User
          현직원 · x***** · 생산엔지니어·생산관리 - 2023.11.18",2023.11.18,Rating Score2.0,“돈은 확실히 주는 회사”
4,"Verified User
          현직원 · 가*** · 해외영업·사업개발·마케팅 - 2023.11.16",2023.11.16,Rating Score4.0,“생각보다 나쁘지는않은데 부바부가 심한회사”
5,"Verified User
          현직원 · 찍******* · 생산엔지니어·생산관리 - 2023.11.05",2023.11.05,Rating Score3.0,“그냥저냥 대외 대내적 차이”
6,"Verified User
          현직원 · I********* · 생산엔지니어·생산관리 - 2023.10.24",2023.10.24,Rating Score5.0,"“성장하는기업, 많은 성과급, 운영직 기준 4조2교대 시행 ”"
7,"Verified User
          현직원 · a***** · 생산엔지니어·생산관리 - 2023.10.20",2023.10.20,Rating Score3.0,“앞이 캄캄한”
8,"Verified User
          현직원 · k***** · 연구개발(R&D) - 2023.10.12",2023.10.12,Rating Score3.0,“성장을 위해서 좋은 회사”
9,"Verified User
          현직원 · P***** · 생산엔지니어·생산관리 - 2023.10.11",2023.10.11,Rating Score3.0,“4조2교대되면 다닐만한 회사”
10,"Verified User
          현직원 · w***** · 연구개발(R&D) - 2023.10.06",2023.10.06,Rating Score3.0,“성장할 것 같은 회사”
11,"Verified User
          현직원 · B***** · 연구개발(R&D) - 2023.10.04",2023.10.04,Rating Score5.0,“커리어 성장을 원하시면 추천”
12,"Verified User
          현직원 · F***** · 생산엔지니어·생산관리 - 2023.09.20",2023.09.20,Rating Score4.0,“성장성이 좋은 회사”
13,"Verified User
          현직원 · B***** · 생산엔지니어·생산관리 - 2023.09.12",2023.09.12,Rating Score3.0,“그냥 저냥 버티기 괜찮음”
14,"Verified User
          현직원 · ?******** · 품질관리·보증 전문가 - 2023.09.11",2023.09.11,Rating Score5.0,“기업과 함께 성장하는 곳”
15,"Verified User
          현직원 · e***** · 연구개발(R&D) - 2023.09.07",2023.09.07,Rating Score5.0,“회사와 함께 성장할수있음”
16,"Verified User
          현직원 · R***** · 생산엔지니어·생산관리 - 2023.08.30",2023.08.30,Rating Score5.0,“워라벨이 확실합니다. ”
17,"Verified User
          현직원 · 이****** · 품질관리·보증 전문가 - 2023.08.28",2023.08.28,Rating Score5.0,“워라벨 좋고 젊은 회사”
18,"Verified User
          현직원 · 잠* · 생산엔지니어·생산관리 - 2023.08.06",2023.08.06,Rating Score1.0,“그저그런 중소기업”
19,"Verified User
          현직원 · a***** · 생산엔지니어·생산관리 - 2023.08.02",2023.08.02,Rating Score5.0,“좋은회사”
20,"Verified User
          현직원 · 순**** · 연구개발(R&D) - 2023.08.01",2023.08.01,Rating Score3.0,“미래가 밝은 회사랍니다”
21,"Verified User
          현직원 · i***** · 생산엔지니어·생산관리 - 2023.07.30",2023.07.30,Rating Score5.0,“성장해나가는 회사”
22,"Verified User
          현직원 · 댁* · 생산엔지니어·생산관리 - 2023.07.30",2023.07.30,Rating Score3.0,“미래 지향적 회사”
23,"Verified User
          현직원 · m******** · 생산엔지니어·생산관리 - 2023.07.23",2023.07.23,Rating Score4.0,“커리어 향상과 워라벨이 장점”
24,"Verified User
          현직원 · a***** · 생산엔지니어·생산관리 - 2023.07.20",2023.07.20,Rating Score5.0,“밥 맛있는회사”
25,"Verified User
          현직원 · d***** · 연구개발(R&D) - 2023.07.20",2023.07.20,Rating Score5.0,“일한만큼 주는 회사”
26,"Verified User
          현직원 · c***** · 품질관리·보증 전문가 - 2023.07.19",2023.07.19,Rating Score5.0,“고속성장”
27,"Verified User
          현직원 · 울****** · 생산엔지니어·생산관리 - 2023.07.19",2023.07.19,Rating Score3.0,“회사 다닌 후로 찜질방 안가는 회사”
28,"Verified User
          현직원 · I******* · 생산엔지니어·생산관리 - 2023.07.16",2023.07.16,Rating Score3.0,“경력 쌓고 나가라고 추천해주는 회사”
29,"Verified User
          현직원 · 에*** · 생산엔지니어·생산관리 - 2023.07.07",2023.07.07,Rating Score3.0,“일주일차가 보기엔 괜찮은 회사”
30,"Verified User
          현직원 · U***** · 생산엔지니어·생산관리 - 2023.07.07",2023.07.07,Rating Score4.0,“성장하는 회사”
31,"Verified User
          현직원 · 쉽******** · 연구개발(R&D) - 2023.07.04",2023.07.04,Rating Score4.0,“개발직군 제외하곤 괜찮음”
32,"Verified User
          현직원 · A***** · 환경·안전·보건 전문가 - 2023.07.04",2023.07.04,Rating Score5.0,“경영진 마인드가 좋은 회사”
33,"Verified User
          현직원 · N***** · 생산엔지니어·생산관리 - 2023.07.03",2023.07.03,Rating Score5.0,“대기업으로 성장하려하지만 아직은 중견”
34,"Verified User
          현직원 · o***** · 경영지원·관리 전문가 - 2023.06.28",2023.06.28,Rating Score5.0,“성장하는 회사”
35,"Verified User
          현직원 · 4*** · 생산엔지니어·생산관리 - 2023.06.15",2023.06.15,Rating Score4.0,“교대시스템 때문에 워라벨은 없는 회사.”
36,"Verified User
          현직원 · 에******** · 회계·세무·재무 전문가 - 2023.05.28",2023.05.28,Rating Score3.0,“미래를 위해 버텨라”
37,"Verified User
          현직원 · l***** · 품질관리·보증 전문가 - 2023.05.28",2023.05.28,Rating Score5.0,“앞으로가 기대되는 회사”
38,"Verified User
          현직원 · N***** · 품질관리·보증 전문가 - 2023.05.27",2023.05.27,Rating Score4.0,“성장이 기대되는 회사. 자부심 갖게되는 회사”
39,"Verified User
          현직원 · l********* · 생산엔지니어·생산관리 - 2023.05.25",2023.05.25,Rating Score4.0,“돈은많이줌”
40,"Verified User
          현직원 · 니****** · 연구개발(R&D) - 2023.05.20",2023.05.20,Rating Score3.0,“임원존나많음”
41,"Verified User
          현직원 · s***** · 연구개발(R&D) - 2023.05.15",2023.05.15,Rating Score4.0,“갈려나가지만 배우는게 있는회사”
42,"Verified User
          현직원 · 빠*** · 연구개발(R&D) - 2023.05.13",2023.05.13,Rating Score4.0,“성장하는 회사”
43,"Verified User
          현직원 · E*** · 생산엔지니어·생산관리 - 2023.05.09",2023.05.09,Rating Score5.0,“쓸데없는 부분만 잘 개선해주는 회사”
44,"Verified User
          현직원 · 특* · 품질관리·보증 전문가 - 2023.05.04",2023.05.04,Rating Score3.0,“회장님만좋다”
45,"Verified User
          현직원 · 비** · 생산엔지니어·생산관리 - 2023.05.01",2023.05.01,Rating Score4.0,"“갈수록 커가는 회사, 겨우 따라갈려는 사내문화”"
46,"Verified User
          현직원 · B***** · 생산엔지니어·생산관리 - 2023.04.28",2023.04.28,Rating Score4.0,“미래가 보장되는 기업”
47,"Verified User
          현직원 · 어****** · 생산엔지니어·생산관리 - 2023.04.24",2023.04.24,Rating Score3.0,"“커가는 회사, 미래성은 확실함”"
48,"Verified User
          현직원 · 함* · 품질관리·보증 전문가 - 2023.04.21",2023.04.21,Rating Score4.0,“미래가 좋은회사”
49,"Verified User
          현직원 · 호***** · 생산엔지니어·생산관리 - 2023.04.10",2023.04.10,Rating Score5.0,“회사가 커지는게 체감이 됨”
50,"Verified User
          현직원 · O***** · 연구개발(R&D) - 2023.04.04",2023.04.04,Rating Score4.0,“9시만 되면 주식창 보러 화장실 흡연실 만석”
51,"Verified User
          전직원 · v***** · 경영지원·관리 전문가 - 2023.03.15",2023.03.15,Rating Score4.0,“성장하는회사”
52,"Verified User
          현직원 · z**** · IT 엔지니어 - 2023.03.09",2023.03.09,Rating Score4.0,“업무 가이드에 구멍이 있는 회사”
53,"Verified User
          현직원 · 에* · 생산엔지니어·생산관리 - 2023.03.08",2023.03.08,Rating Score3.0,“회사 미래는 밝고 근무형태만 바뀌면 좋을것같다.”
54,"Verified User
          현직원 · r***** · 생산엔지니어·생산관리 - 2023.03.06",2023.03.06,Rating Score1.0,“열심히하면 바보되는 회사”
55,"Verified User
          현직원 · A*** · 연구개발(R&D) - 2023.03.06",2023.03.06,Rating Score4.0,“나름 좋은 회사”
